clade	species	ts	te	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
0	1	2010	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	NA	NA
0	2	2007	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	NA	NA	NA	NA	NA	NA
0	3	2011	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	NA
0	4	2014	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA
0	5	2010	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	NA	NA	NA	NA	NA	NA
0	6	2003	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	10	11	12	13	NA	NA
0	7	2010	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
0	8	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2
0	9	2013	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5
0	10	2016	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA
0	11	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3
0	12	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2
0	13	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3
0	14	1996	2005	NA	NA	0	1	2	3	4	5	6	7	8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	15	1998	2000	NA	NA	NA	NA	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
