clade	species	ts	te	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
0	1	2010	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.964541219070876	-2.4729353464022696	-2.146917759461233	-0.49897687296767934	-0.1370014257960337	4.6915529264245155	4.923710286562379	NA	NA
0	2	2007	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.565970450970042	-2.2108510009480185	-0.767482861620735	2.153641411451254	3.734812614355672	4.4741722644898125	NA	NA	NA	NA	NA	NA
0	3	2011	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.482860322674785	-1.2767666585134299	-0.5775787219411823	0.013642831093560126	0.6088430871720405	0.8034335623284914	4.764404791457119	NA
0	4	2014	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.476401261742547	-0.9608576482423725	NA	NA	NA
0	5	2010	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.5078605428897083	1.1248083414134582	1.5747316111634273	NA	NA	NA	NA	NA	NA
0	6	2003	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.851149181466891	-4.4870353101453775	-4.01014642240482	-3.9003926773251196	-1.6740594329555236	-1.5474511410174574	-1.5392634173036157	-1.2282760706174303	-0.691443426881527	1.1996332952204947	1.5110038550693403	1.5737364960611977	4.062286471407022	4.56384313844006	NA	NA
0	7	2010	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.488884376092672	NA	NA	NA	NA	NA	NA	NA	NA
0	8	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.823919991432738	-2.3208159364027647	-0.401290382274353
0	9	2013	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.2944199592604186	-0.20712698238409377	0.4449234324594631	2.044163617328664	2.663793259769709	4.033106252554495
0	10	2016	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.832881830076349	-1.5664852843853607	NA
0	11	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.46796230843895437	1.0660092956076719	1.2824146482569088	2.828901800483407
0	12	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.763565551983669	-1.3267999270434014	4.177809729501762
0	13	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.586275904786238	1.8794070725911407	2.2099502668619344	4.831550140126053
0	14	1996	2005	NA	NA	-4.337314648188554	-3.9248444749995857	-3.0391957211927534	-1.70712019129967	-1.588779134329168	-1.5668051626807333	1.2361602669908747	2.1769510237556826	4.1623282385696605	4.601411073182799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	15	1998	2000	NA	NA	NA	NA	-4.460502562161762	-1.565495555895163	-1.1236618924724229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
