clade	species	ts	te	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
1	1	2010	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.236917106260428	-0.6159076855910648	0.011204636599378759	0.38495870410433675	2.234651778309412	2.7991879224011464	4.779895119966026	NA	NA
1	2	2007	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.583033742747501	-3.9234332006403205	-1.6802019469882277	0.9505206420624024	3.212291230578318	3.9286015143600164	NA	NA	NA	NA	NA	NA
1	3	2011	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.236917106260428	-0.6159076855910648	0.011204636599378759	0.38495870410433675	2.234651778309412	2.7991879224011464	4.779895119966026	NA
1	4	2014	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.740737681721087	-0.6400509785799624	NA	NA	NA
1	5	2010	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.0909526108705565	0.5079790257457546	2.081478226181048	NA	NA	NA	NA	NA	NA
1	6	2003	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.941262144489417	-4.919530514701821	-2.787450575722401	-1.9026407449479588	-1.8171557512790137	-1.5774537438531566	0.1311671226788711	0.1394334377269022	0.38888849067144626	0.3919993742564811	2.731650520792968	3.064813579242699	3.704276857248127	4.576037393658909	NA	NA
1	7	2010	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8297799529742598	NA	NA	NA	NA	NA	NA	NA	NA
1	8	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.0909526108705565	0.5079790257457546	2.081478226181048
1	9	2013	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.583033742747501	-3.9234332006403205	-1.6802019469882277	0.9505206420624024	3.212291230578318	3.9286015143600164
1	10	2016	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.740737681721087	-0.6400509785799624	NA
1	11	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4723224917572235	2.148159936743647	4.670298390136766	4.726843599648843
1	12	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.0909526108705565	0.5079790257457546	2.081478226181048
1	13	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4723224917572235	2.148159936743647	4.670298390136766	4.726843599648843
1	14	1996	2005	NA	NA	-4.792480506405985	-4.116601858259897	-3.3088916343746453	-3.01937135240376	-2.7520335446915234	-0.014929876974095535	1.336482349262754	2.488038825386118	2.605307121989587	2.7132064326674596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	15	1998	2000	NA	NA	NA	NA	-2.0909526108705565	0.5079790257457546	2.081478226181048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	16	1994	1999	-4.583033742747501	-3.9234332006403205	-1.6802019469882277	0.9505206420624024	3.212291230578318	3.9286015143600164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
