species	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0863791224468	0.293809121103	0.765786059572	0.792765763029	1.23153565472	1.62960299674	1.65418067593	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.202620506627	0.330185508604	0.497063373989	0.922744376494	1.39907280637	1.61291127121	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14181450848	0.16901412795	1.36046257024	1.44983913058	1.45499742597	1.52023313833	1.79599223076	NA
4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11220157726	1.61191848107	NA	NA	NA
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16293951393	1.33496927621	1.92692398868	NA	NA	NA	NA	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00914837245787	0.238473873406	0.251670247815	0.500096457886	0.619929384006	0.700045363442	0.891281659141	0.891525170946	0.944064262271	1.22247986754	1.38980268166	1.58544803559	1.70078976071	1.78894713537	NA	NA
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54845912645	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.314155816235	0.434252255506	1.11426845338
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.119563057823	0.384016409291	0.64323709893	0.784969373337	1.31238959382	1.99478404154
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.837175852795	1.28417665112	NA
11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.175721265115	0.305281160318	1.55677207545	1.70506185446
12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0467743847518	0.81598025938	1.66151230882
13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187256136006	0.345038726944	0.380094100535	0.727619179036
14	NA	NA	0.0566206203805	0.424702039779	0.766371751553	0.799651572974	0.820201343488	1.41232537368	1.44636777909	1.5234287459	1.58392638375	1.99090343845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	NA	NA	NA	NA	0.628217250798	0.811939023546	1.83120836151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	0.350092898536	0.911903950757	1.22797973299	1.4386611596	1.80427093897	1.83976238501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	0.165989127311	0.196741380963	0.245037041852	0.52301580277	0.628759008114	0.771364576677	1.00237341609	1.01922122399	1.07228566821	1.2397550356	1.25208563933	1.47651027074	1.57150631155	1.70457267504	1.76937082186	1.7698309152	1.80729089828	1.95206377234	NA	NA	NA	NA	NA	NA	NA
